GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109126707729,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2024-01-13 00:00:15,1705075215000,2,小型汽车,苏CS7***,未知
F120300109126707706,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-13 00:00:18,1705075218000,1,大型汽车,鲁Q71***,一汽
F120300109126707975,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-13 00:00:28,1705075228000,1,大型汽车,鲁H02***,吉利
F120300109126707983,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-13 00:00:32,1705075232000,1,大型汽车,鲁JD7***,汉江
F120300109126708085,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2024-01-13 00:00:35,1705075235000,2,小型汽车,苏C9N***,大众
F120300109126708224,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-13 00:00:38,1705075238000,2,小型汽车,皖L63***,未知
F120300109126708199,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-13 00:00:43,1705075243000,2,小型汽车,鲁GH8***,一汽
F120300109126708421,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-13 00:00:51,1705075251000,1,大型汽车,鲁DE0***,未知
F120300109126708545,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-13 00:00:56,1705075256000,1,大型汽车,鲁Q20***,哈飞
F120300109126708813,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-13 00:01:01,1705075261000,2,小型汽车,苏C1B***,海格
F120300109126709158,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-13 00:01:13,1705075273000,2,小型汽车,皖EAU***,大众
F120300109126709224,铜山县,G310,K310,PROVINCE,江苏-安徽,苏皖界,G310-K310-省际卡口,1,2024-01-13 00:01:37,1705075297000,2,小型汽车,苏C98***,未知
F120300109126709624,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-13 00:01:44,1705075304000,1,大型汽车,苏CNQ***,一汽
F120300109126709863,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2024-01-13 00:02:00,1705075320000,2,小型汽车,苏C20***,未知
F120300109126710216,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-13 00:02:17,1705075337000,1,大型汽车,鲁Q19***,哈飞
F120300109126710317,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-13 00:02:22,1705075342000,2,小型汽车,苏CR0***,五菱
F120300109126711206,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-13 00:02:27,1705075347000,2,小型汽车,苏CJ1***,别克
