GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
F120300109062663648,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:06,1704297606000,1,大型汽车,苏CKT***,一汽
F120300109062663738,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:12,1704297612000,1,大型汽车,鲁Q95***,未知
F120300109062663876,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:19,1704297619000,1,大型汽车,苏CMR***,未知
F120300109062664090,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-04 00:00:25,1704297625000,2,小型汽车,苏N51***,中兴
F120300109062663994,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:26,1704297626000,1,大型汽车,苏CKR***,未知
F120300109062664099,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:00:31,1704297631000,1,大型汽车,皖CD8***,一汽
F120300109062664503,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-04 00:00:39,1704297639000,2,小型汽车,苏N95***,别克
F120300109062664980,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2024-01-04 00:00:48,1704297648000,2,小型汽车,鲁H71***,东风
F120300109062664692,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:00:53,1704297653000,2,小型汽车,苏CM8***,五菱
F120300109062664689,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2024-01-04 00:00:58,1704297658000,2,小型汽车,鲁H1L***,奔驰
F120300109062665167,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:01:25,1704297685000,2,小型汽车,苏C3D***,未知
F120300109062665156,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:01:27,1704297687000,1,大型汽车,苏CDS***,未知
F120300109062665501,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-04 00:01:43,1704297703000,52,教练车,苏CD6***,三菱
F120300109062665656,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:01:50,1704297710000,2,小型汽车,苏C17***,未知
F120300109062666445,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2024-01-04 00:02:09,1704297729000,1,大型汽车,鲁PY3***,福特
F120300109062667055,睢宁县,S325,K63,CITY,徐州-宿迁,宿迁界,S325-K63-市际卡口,2,2024-01-04 00:02:49,1704297769000,2,小型汽车,苏CB5***,大众
F120300109062667482,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:03:24,1704297804000,1,大型汽车,鲁QS8***,未知
F120300109062667666,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:03:34,1704297814000,51,挂车,鲁GY3***,未知
F120300109062667663,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2024-01-04 00:03:38,1704297818000,2,小型汽车,苏宁C0***,斯达泰克
F120300109062667746,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:03:38,1704297818000,1,大型汽车,鲁Q70***,未知
F120300109062667869,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:03:45,1704297825000,1,大型汽车,鲁L98***,奥迪
F120300109062667956,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2024-01-04 00:03:50,1704297830000,1,大型汽车,皖CD8***,宝马
F120300109062668123,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:03:57,1704297837000,1,大型汽车,鲁Q92***,福田
F120300109062668188,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:04:02,1704297842000,2,小型汽车,皖S2U***,未知
F120300109062668367,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2024-01-04 00:04:05,1704297845000,2,小型汽车,苏CW5***,奥迪
F120300109062668393,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2024-01-04 00:04:10,1704297850000,1,大型汽车,苏CSE***,福田
