GCXH,XZQHMC,ROAD_ID,K_INDEX,BOUNDARY_LEVEL,BOUNDARY_DETAIL,BOUNDARY_LABEL,CLEAN_KKMC,FXLX,GCSJ,GCSJ_TS,HPZL,HPZL_LABEL,HPHM,BRAND
F60300108885987278,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-21 00:00:51,1703088051000,52,教练车,苏CD1***,几何汽车
F60300108885987721,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:01:24,1703088084000,02,小型汽车,苏C06***,五菱
F60300108885987967,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-21 00:01:26,1703088086000,01,大型汽车,豫N95***,东风
F60300108885987763,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:01:27,1703088087000,02,小型汽车,苏C7N***,未知
F60300108885987877,沛县,S253,K0,PROVINCE,江苏-山东,苏鲁界,S253-K0-省际卡口,1,2023-12-21 00:01:41,1703088101000,02,小型汽车,鲁HU6***,一汽
F60300108885988181,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2023-12-21 00:01:52,1703088112000,02,小型汽车,苏CX1***,未知
F60300108885988417,新沂市,S323,K10,CITY,徐州-连云港,连云港交界,S323-K10-市际卡口,1,2023-12-21 00:02:11,1703088131000,未知,未知,豫N87***,未知
F60300108885988899,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:02:53,1703088173000,02,小型汽车,苏CX6***,吉利
F60300108885989333,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-21 00:03:07,1703088187000,01,大型汽车,鲁RU1***,未知
F60300108885989393,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-21 00:03:33,1703088213000,01,大型汽车,苏CLU***,江淮
F60300108885989638,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-21 00:03:45,1703088225000,01,大型汽车,鲁RN1***,江南
F60300108885989728,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2023-12-21 00:03:55,1703088235000,02,小型汽车,苏CQ9***,野马
F60300108885989760,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-21 00:03:58,1703088238000,02,小型汽车,苏C39***,未知
F60300108885989718,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:04:00,1703088240000,02,小型汽车,苏C33***,现代
F60300108885990078,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-21 00:04:05,1703088245000,01,大型汽车,鲁H96***,一汽
F60300108885989832,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:04:08,1703088248000,02,小型汽车,苏C7X***,起亚
F60300108885989871,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2023-12-21 00:04:11,1703088251000,02,小型汽车,苏C8Q***,金杯
F60300108885991046,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-21 00:05:21,1703088321000,01,大型汽车,鲁H79***,一汽
F60300108885991248,铜山县,G104,K744,PROVINCE,江苏-山东,苏鲁界,G104-K744-省际卡口,1,2023-12-21 00:05:50,1703088350000,未知,未知,皖FF7***,未知
F60300108885991415,新沂市,S505,K10,CITY,徐州-宿迁,宿迁界,S505-K10-市际卡口,1,2023-12-21 00:06:04,1703088364000,02,小型汽车,苏CZ1***,风神
F60300108885991658,铜山县,G311,K207,PROVINCE,江苏-安徽,苏皖界,G311-K207-省际卡口,1,2023-12-21 00:06:19,1703088379000,02,小型汽车,皖LF8***,保时捷
F60300108885991768,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-21 00:06:32,1703088392000,51,挂车,鲁Q01***,未知
F60300108885992097,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-21 00:06:37,1703088397000,01,大型汽车,苏CJQ***,福田
F60300108885992383,高速五大队,G3,K731,PROVINCE,江苏-山东,苏鲁界,G3-K731-省际卡口,1,2023-12-21 00:06:58,1703088418000,01,大型汽车,苏CF9***,未知
F60300108885992479,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:07:25,1703088445000,01,大型汽车,鲁Q15***,未知
F60300108885992563,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-21 00:07:32,1703088452000,02,小型汽车,苏C1C***,大众
F60300108885992595,丰县,X308,K19,CITY,丰县-睢宁,县界,X308-K19-市际卡口,1,2023-12-21 00:07:32,1703088452000,02,小型汽车,皖DUA***,哈弗
F60300108885992668,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-21 00:07:38,1703088458000,01,大型汽车,鲁Q93***,依维柯
F60300108885993050,丰县,G518,K358,PROVINCE,江苏-山东,苏鲁界,G518-K358-省际卡口,1,2023-12-21 00:07:50,1703088470000,02,小型汽车,苏C1A***,雪佛兰
F60300108885992877,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2023-12-21 00:07:52,1703088472000,02,小型汽车,苏C08***,未知
F60300108885992882,睢宁县,G104,K873,PROVINCE,江苏-安徽,苏皖界,G104-K873-省际卡口,1,2023-12-21 00:07:52,1703088472000,02,小型汽车,苏C08***,未知
F60300108885992915,新沂市,G235,K10,CITY,徐州-连云港,连云港交界,G235-K10-市际卡口,1,2023-12-21 00:07:59,1703088479000,52,教练车,苏NDD***,福特
F60300108885992987,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-21 00:08:07,1703088487000,01,大型汽车,皖S2U***,未知
F60300108885993269,邳州市,S251,K5,PROVINCE,江苏-山东,苏鲁界,S251-K5-省际卡口,1,2023-12-21 00:08:25,1703088505000,52,教练车,鲁QD8***,大通
F60300108885993554,邳州市,S250,K1,PROVINCE,江苏-山东,苏鲁界,S250-K1-省际卡口,1,2023-12-21 00:08:47,1703088527000,01,大型汽车,鲁Q61***,福田
