Date,Open,High,Close
2020-12-22 00:02:00,23,4,9
2020-12-22 00:03:00,29,2,7
2020-12-22 00:04:00,22,2,10
2020-12-22 00:05:00,19,2,7
2020-12-22 00:06:00,21,5,3
2020-12-22 00:07:00,23,1,10
2020-12-22 00:08:00,20,1,8
2020-12-22 00:09:00,16,1,6
2020-12-22 00:10:00,20,3,4
2020-12-22 00:11:00,24,3,6
2020-12-22 00:13:00,29,1,14
2020-12-22 00:14:00,18,3,8
2020-12-22 00:15:00,28,4,6
2020-12-22 00:16:00,15,3,10
2020-12-22 00:18:00,22,3,5
2020-12-22 00:19:00,27,1,7
2020-12-22 00:20:00,21,4,9
2020-12-22 00:21:00,16,1,9
2020-12-22 00:22:00,25,1,8
2020-12-22 00:23:00,28,3,6
2020-12-22 00:24:00,24,1,4
2020-12-22 00:25:00,25,1,8
2020-12-22 00:26:00,18,3,8
2020-12-22 00:29:00,13,1,7
2020-12-22 00:30:00,15,1,3
2020-12-22 00:31:00,17,2,6
2020-12-22 00:32:00,16,3,9
2020-12-22 00:33:00,12,1,6
2020-12-22 00:34:00,22,1,6
2020-12-22 00:35:00,27,3,9
2020-12-22 00:36:00,12,3,8
2020-12-22 00:37:00,15,5,5
2020-12-22 00:38:00,22,3,14
2020-12-22 00:39:00,21,3,7
2020-12-22 00:40:00,14,2,9
2020-12-22 00:41:00,20,2,8
2020-12-22 00:42:00,17,1,11
2020-12-22 00:43:00,20,2,11
2020-12-22 00:45:00,20,2,8
2020-12-22 00:46:00,24,3,12
2020-12-22 00:47:00,17,2,7
2020-12-22 00:48:00,27,1,4
2020-12-22 00:49:00,21,2,5
2020-12-22 00:50:00,21,1,1
2020-12-22 00:51:00,16,1,10
2020-12-22 00:52:00,25,4,4
2020-12-22 00:53:00,28,1,9
2020-12-22 00:54:00,16,2,4
2020-12-22 00:55:00,18,3,6
2020-12-22 00:56:00,21,3,6
2020-12-22 00:57:00,13,1,3
2020-12-22 00:58:00,18,2,7
2020-12-22 00:59:00,14,2,6
2020-12-22 01:00:00,16,2,5
2020-12-22 01:01:00,15,1,10
2020-12-22 01:02:00,17,1,4
2020-12-22 01:05:00,12,2,7
2020-12-22 01:06:00,11,2,7
2020-12-22 01:08:00,22,1,7
2020-12-22 01:09:00,15,1,5
2020-12-22 01:10:00,13,1,10
2020-12-22 01:11:00,13,2,4
2020-12-22 01:12:00,16,2,6
2020-12-22 01:14:00,9,1,8
2020-12-22 01:15:00,18,1,9
2020-12-22 01:16:00,19,1,1
2020-12-22 01:17:00,17,1,4
2020-12-22 01:18:00,18,3,4
2020-12-22 01:19:00,14,1,4
2020-12-22 01:21:00,12,2,5
2020-12-22 01:22:00,11,1,4
2020-12-22 01:23:00,11,5,4
2020-12-22 01:25:00,22,1,6
2020-12-22 01:27:00,17,4,1
2020-12-22 01:29:00,13,1,10
2020-12-22 01:31:00,15,2,7
2020-12-22 01:32:00,22,3,5
2020-12-22 01:33:00,17,3,6
2020-12-22 01:36:00,15,2,8
2020-12-22 01:37:00,9,1,5
2020-12-22 01:38:00,19,1,6
2020-12-22 01:39:00,15,2,11
2020-12-22 01:40:00,13,1,7
2020-12-22 01:41:00,10,2,6
2020-12-22 01:42:00,12,1,9
2020-12-22 01:43:00,15,2,8
2020-12-22 01:44:00,14,2,5
2020-12-22 01:46:00,18,1,3
2020-12-22 01:48:00,22,1,4
2020-12-22 01:49:00,9,1,6
2020-12-22 01:50:00,11,2,5
2020-12-22 01:51:00,10,3,7
2020-12-22 01:52:00,9,1,4
2020-12-22 01:53:00,10,1,10
2020-12-22 01:54:00,16,2,9
2020-12-22 01:55:00,14,1,8
2020-12-22 02:00:00,15,2,7
2020-12-22 02:01:00,13,1,11
2020-12-22 02:02:00,5,1,3
2020-12-22 02:04:00,13,1,5
2020-12-22 02:05:00,10,2,7
2020-12-22 02:10:00,10,2,3
2020-12-22 02:11:00,17,2,7
2020-12-22 02:12:00,8,1,4
2020-12-22 02:13:00,12,1,4
2020-12-22 02:15:00,9,1,10
2020-12-22 02:17:00,13,2,6
2020-12-22 02:22:00,17,1,7
2020-12-22 02:23:00,12,1,4
2020-12-22 02:26:00,16,1,4
2020-12-22 02:27:00,8,1,5
2020-12-22 02:37:00,4,1,6
2020-12-22 02:45:00,10,1,2
2020-12-22 02:46:00,6,1,2
2020-12-22 02:48:00,9,2,3
2020-12-22 02:50:00,13,1,5
2020-12-22 02:55:00,15,1,2
2020-12-22 03:00:00,9,1,6
2020-12-22 03:01:00,8,1,2
2020-12-22 03:02:00,13,2,6
2020-12-22 03:06:00,12,1,5
2020-12-22 03:09:00,8,1,4
2020-12-22 03:11:00,13,1,3
2020-12-22 03:14:00,7,1,4
2020-12-22 03:15:00,12,1,3
2020-12-22 03:16:00,10,1,1
2020-12-22 03:17:00,14,1,4
2020-12-22 03:19:00,8,1,6
2020-12-22 03:21:00,11,1,2
2020-12-22 03:26:00,12,1,7
2020-12-22 03:38:00,14,1,4
2020-12-22 03:41:00,13,1,2
2020-12-22 03:42:00,13,1,2
2020-12-22 03:46:00,8,1,4
2020-12-22 03:53:00,11,1,2
2020-12-22 03:55:00,11,1,1
2020-12-22 03:56:00,17,2,1
2020-12-22 03:57:00,14,2,3
2020-12-22 03:59:00,12,2,3
2020-12-22 04:05:00,11,1,5
2020-12-22 04:06:00,11,1,2
2020-12-22 04:11:00,10,1,5
2020-12-22 04:33:00,8,1,3
2020-12-22 04:38:00,14,1,1
2020-12-22 04:41:00,11,1,3
2020-12-22 04:43:00,18,1,1
2020-12-22 04:45:00,10,1,6
2020-12-22 04:48:00,13,1,5
2020-12-22 04:49:00,17,2,5
2020-12-22 04:51:00,18,1,3
2020-12-22 04:55:00,17,1,2
2020-12-22 04:57:00,16,2,1
2020-12-22 04:58:00,22,1,4
2020-12-22 05:06:00,17,1,3
2020-12-22 05:11:00,11,1,5
2020-12-22 05:13:00,17,1,7
2020-12-22 05:14:00,12,1,2
2020-12-22 05:15:00,14,1,6
2020-12-22 05:19:00,19,1,6
2020-12-22 06:49:00,20,6,5
2020-12-22 06:50:00,14,2,3
2020-12-22 07:11:00,34,4,14
2020-12-22 07:12:00,31,4,26
2020-12-22 07:13:00,27,6,14
2020-12-22 07:14:00,40,8,18
2020-12-22 07:15:00,42,7,20
2020-12-22 07:16:00,28,4,17
2020-12-22 07:17:00,37,5,14
2020-12-22 07:18:00,28,7,16
2020-12-22 07:19:00,24,3,6
2020-12-22 07:20:00,44,9,13
2020-12-22 07:21:00,40,1,22
2020-12-22 07:22:00,40,7,21
2020-12-22 07:23:00,33,7,27
2020-12-22 07:24:00,39,4,19
2020-12-22 07:25:00,35,3,26
2020-12-22 07:26:00,35,6,22
2020-12-22 07:27:00,37,7,14
2020-12-22 07:28:00,41,6,22
2020-12-22 07:29:00,44,8,27
2020-12-22 07:30:00,46,5,16
2020-12-22 07:31:00,42,4,10
2020-12-22 07:32:00,42,5,15
2020-12-22 07:33:00,36,2,13
2020-12-22 07:34:00,36,6,12
2020-12-22 07:35:00,40,7,13
2020-12-22 07:36:00,46,6,11
2020-12-22 07:37:00,37,6,16
2020-12-22 07:38:00,39,3,22
2020-12-22 07:39:00,32,4,24
2020-12-22 07:40:00,34,4,19
2020-12-22 07:41:00,35,6,6
2020-12-22 07:43:00,38,7,18
2020-12-22 07:44:00,35,6,21
2020-12-22 07:45:00,44,9,19
2020-12-22 07:46:00,31,4,29
2020-12-22 07:47:00,32,1,19
2020-12-22 07:48:00,43,8,13
2020-12-22 07:49:00,40,6,24
2020-12-22 07:51:00,57,9,26
2020-12-22 07:52:00,48,9,17
2020-12-22 07:53:00,27,7,10
2020-12-22 07:54:00,42,10,8
2020-12-22 07:55:00,54,9,30
2020-12-22 07:56:00,37,12,26
2020-12-22 07:57:00,46,3,27
2020-12-22 07:58:00,47,9,27
2020-12-22 07:59:00,50,9,25
2020-12-22 08:00:00,48,14,26
2020-12-22 08:01:00,41,8,25
2020-12-22 08:02:00,69,10,14
2020-12-22 08:03:00,31,3,11
2020-12-22 00:02:00,23,4,9
2020-12-22 00:03:00,29,2,7
2020-12-22 00:04:00,22,2,10
2020-12-22 00:05:00,19,2,7
2020-12-22 00:06:00,21,5,3
2020-12-22 00:07:00,23,1,10
2020-12-22 00:08:00,20,1,8
2020-12-22 00:09:00,16,1,6
2020-12-22 00:10:00,20,3,4
2020-12-22 00:11:00,24,3,6
2020-12-22 00:13:00,29,1,14
2020-12-22 00:14:00,18,3,8
2020-12-22 00:15:00,28,4,6
2020-12-22 00:16:00,15,3,10
2020-12-22 00:18:00,22,3,5
2020-12-22 00:19:00,27,1,7
2020-12-22 00:20:00,21,4,9
2020-12-22 00:21:00,16,1,9
2020-12-22 00:22:00,25,1,8
2020-12-22 00:23:00,28,3,6
2020-12-22 00:24:00,24,1,4
2020-12-22 00:25:00,25,1,8
2020-12-22 00:26:00,18,3,8
2020-12-22 00:29:00,13,1,7
2020-12-22 00:30:00,15,1,3
2020-12-22 00:31:00,17,2,6
2020-12-22 00:32:00,16,3,9
2020-12-22 00:33:00,12,1,6
2020-12-22 00:34:00,22,1,6
2020-12-22 00:35:00,27,3,9
2020-12-22 00:36:00,12,3,8
2020-12-22 00:37:00,15,5,5
2020-12-22 00:38:00,22,3,14
2020-12-22 00:39:00,21,3,7
2020-12-22 00:40:00,14,2,9
2020-12-22 00:41:00,20,2,8
2020-12-22 00:42:00,17,1,11
2020-12-22 00:43:00,20,2,11
2020-12-22 00:45:00,20,2,8
2020-12-22 00:46:00,24,3,12
2020-12-22 00:47:00,17,2,7
2020-12-22 00:48:00,27,1,4
2020-12-22 00:49:00,21,2,5
2020-12-22 00:50:00,21,1,1
2020-12-22 00:51:00,16,1,10
2020-12-22 00:52:00,25,4,4
2020-12-22 00:53:00,28,1,9
2020-12-22 00:54:00,16,2,4
2020-12-22 00:55:00,18,3,6
2020-12-22 00:56:00,21,3,6
2020-12-22 00:57:00,13,1,3
2020-12-22 00:58:00,18,2,7
2020-12-22 00:59:00,14,2,6
2020-12-22 01:00:00,16,2,5
2020-12-22 01:01:00,15,1,10
2020-12-22 01:02:00,17,1,4
2020-12-22 01:05:00,12,2,7
2020-12-22 01:06:00,11,2,7
2020-12-22 01:08:00,22,1,7
2020-12-22 01:09:00,15,1,5
2020-12-22 01:10:00,13,1,10
2020-12-22 01:11:00,13,2,4
2020-12-22 01:12:00,16,2,6
2020-12-22 01:14:00,9,1,8
2020-12-22 01:15:00,18,1,9
2020-12-22 01:16:00,19,1,1
2020-12-22 01:17:00,17,1,4
2020-12-22 01:18:00,18,3,4
2020-12-22 01:19:00,14,1,4
2020-12-22 01:21:00,12,2,5
2020-12-22 01:22:00,11,1,4
2020-12-22 01:23:00,11,5,4
2020-12-22 01:25:00,22,1,6
2020-12-22 01:27:00,17,4,1
2020-12-22 01:29:00,13,1,10
2020-12-22 01:31:00,15,2,7
2020-12-22 01:32:00,22,3,5
2020-12-22 01:33:00,17,3,6
2020-12-22 01:36:00,15,2,8
2020-12-22 01:37:00,9,1,5
2020-12-22 01:38:00,19,1,6
2020-12-22 01:39:00,15,2,11
2020-12-22 01:40:00,13,1,7
2020-12-22 01:41:00,10,2,6
2020-12-22 01:42:00,12,1,9
2020-12-22 01:43:00,15,2,8
2020-12-22 01:44:00,14,2,5
2020-12-22 01:46:00,18,1,3
2020-12-22 01:48:00,22,1,4
2020-12-22 01:49:00,9,1,6
2020-12-22 01:50:00,11,2,5
2020-12-22 01:51:00,10,3,7
2020-12-22 01:52:00,9,1,4
2020-12-22 01:53:00,10,1,10
2020-12-22 01:54:00,16,2,9
2020-12-22 01:55:00,14,1,8
2020-12-22 02:00:00,15,2,7
2020-12-22 02:01:00,13,1,11
2020-12-22 02:02:00,5,1,3
2020-12-22 02:04:00,13,1,5
2020-12-22 02:05:00,10,2,7
2020-12-22 02:10:00,10,2,3
2020-12-22 02:11:00,17,2,7
2020-12-22 02:12:00,8,1,4
2020-12-22 02:13:00,12,1,4
2020-12-22 02:15:00,9,1,10
2020-12-22 02:17:00,13,2,6
2020-12-22 02:22:00,17,1,7
2020-12-22 02:23:00,12,1,4
2020-12-22 02:26:00,16,1,4
2020-12-22 02:27:00,8,1,5
2020-12-22 02:37:00,4,1,6
2020-12-22 02:45:00,10,1,2
2020-12-22 02:46:00,6,1,2
2020-12-22 02:48:00,9,2,3
2020-12-22 02:50:00,13,1,5
2020-12-22 02:55:00,15,1,2
2020-12-22 03:00:00,9,1,6
2020-12-22 03:01:00,8,1,2
2020-12-22 03:02:00,13,2,6
2020-12-22 03:06:00,12,1,5
2020-12-22 03:09:00,8,1,4
2020-12-22 03:11:00,13,1,3
2020-12-22 03:14:00,7,1,4
2020-12-22 03:15:00,12,1,3
2020-12-22 03:16:00,10,1,1
2020-12-22 03:17:00,14,1,4
2020-12-22 03:19:00,8,1,6
2020-12-22 03:21:00,11,1,2
2020-12-22 03:26:00,12,1,7
2020-12-22 03:38:00,14,1,4
2020-12-22 03:41:00,13,1,2
2020-12-22 03:42:00,13,1,2
2020-12-22 03:46:00,8,1,4
2020-12-22 03:53:00,11,1,2
2020-12-22 03:55:00,11,1,1
2020-12-22 03:56:00,17,2,1
2020-12-22 03:57:00,14,2,3
2020-12-22 03:59:00,12,2,3
2020-12-22 04:05:00,11,1,5
2020-12-22 04:06:00,11,1,2
2020-12-22 04:11:00,10,1,5
2020-12-22 04:33:00,8,1,3
2020-12-22 04:38:00,14,1,1
2020-12-22 04:41:00,11,1,3
2020-12-22 04:43:00,18,1,1
2020-12-22 04:45:00,10,1,6
2020-12-22 04:48:00,13,1,5
2020-12-22 04:49:00,17,2,5
2020-12-22 04:51:00,18,1,3
2020-12-22 04:55:00,17,1,2
2020-12-22 04:57:00,16,2,1
2020-12-22 04:58:00,22,1,4
2020-12-22 05:06:00,17,1,3
2020-12-22 05:11:00,11,1,5
2020-12-22 05:13:00,17,1,7
2020-12-22 05:14:00,12,1,2
2020-12-22 05:15:00,14,1,6
2020-12-22 05:19:00,19,1,6
2020-12-22 06:49:00,20,6,5
2020-12-22 06:50:00,14,2,3
2020-12-22 07:11:00,34,4,14
2020-12-22 07:12:00,31,4,26
2020-12-22 07:13:00,27,6,14
2020-12-22 07:14:00,40,8,18
2020-12-22 07:15:00,42,7,20
2020-12-22 07:16:00,28,4,17
2020-12-22 07:17:00,37,5,14
2020-12-22 07:18:00,28,7,16
2020-12-22 07:19:00,24,3,6
2020-12-22 07:20:00,44,9,13
2020-12-22 07:21:00,40,1,22
2020-12-22 07:22:00,40,7,21
2020-12-22 07:23:00,33,7,27
2020-12-22 07:24:00,39,4,19
2020-12-22 07:25:00,35,3,26
2020-12-22 07:26:00,35,6,22
2020-12-22 07:27:00,37,7,14
2020-12-22 07:28:00,41,6,22
2020-12-22 07:29:00,44,8,27
2020-12-22 07:30:00,46,5,16
2020-12-22 07:31:00,42,4,10
2020-12-22 07:32:00,42,5,15
2020-12-22 07:33:00,36,2,13
2020-12-22 07:34:00,36,6,12
2020-12-22 07:35:00,40,7,13
2020-12-22 07:36:00,46,6,11
2020-12-22 07:37:00,37,6,16
2020-12-22 07:38:00,39,3,22
2020-12-22 07:39:00,32,4,24
2020-12-22 07:40:00,34,4,19
2020-12-22 07:41:00,35,6,6
2020-12-22 07:43:00,38,7,18
2020-12-22 07:44:00,35,6,21
2020-12-22 07:45:00,44,9,19
2020-12-22 07:46:00,31,4,29
2020-12-22 07:47:00,32,1,19
2020-12-22 07:48:00,43,8,13
2020-12-22 07:49:00,40,6,24
2020-12-22 07:51:00,57,9,26
2020-12-22 07:52:00,48,9,17
2020-12-22 07:53:00,27,7,10
2020-12-22 07:54:00,42,10,8
2020-12-22 07:55:00,54,9,30
2020-12-22 07:56:00,37,12,26
2020-12-22 07:57:00,46,3,27
2020-12-22 07:58:00,47,9,27
2020-12-22 07:59:00,50,9,25
2020-12-22 08:00:00,48,14,26
2020-12-22 08:01:00,41,8,25
2020-12-22 08:02:00,69,10,14
2020-12-22 08:03:00,31,3,11

